taxa	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
X210741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
X550229	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
X105798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0
X183473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0
X541313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
X540305	0	0	0	0	0	0	0	0	1	0	2	0	1	1	1	2	4	5	63	1320	2305	4	0	22	0	0
X511243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0
X568829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X185612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	25	0	0	0	0	0
X321018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	9	116	0	0	0	0	0
X549041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
X153762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
X155789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X155495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X155526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	37	426	1	0	5	1	0
X197473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	2	98	0	0	0	0	0
X315545	0	0	0	0	0	0	0	1	10	1	0	0	2	2	0	1	117	727	217	921	694	0	0	1	0	1
X348549	0	0	0	1	0	0	1	0	8	0	0	0	0	0	0	1	47	771	176	440	340	0	0	4	1	0
X559394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	19	8	5	0	0	0	0	0
X341551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
X108964	0	1	0	0	0	0	2	6	1	0	1	0	1	0	1	3	7	1	166	3437	6404	10	3	21	0	2
X330416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
X573586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
X568724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	2	3	151	117	0	0	1	0	0
X175045	0	0	0	0	1	0	0	2	0	0	3	0	0	1	2	1	6	3	83	1692	3030	5	0	27	1	0
X552540	0	0	0	0	0	0	0	0	0	0	0	4	0	1	3	0	0	0	0	0	0	0	0	0	0	0
X546313	72	153	11232	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	9	20	11	0	1	2	2	29
X548602	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0
X564501	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X47778	1	14	207	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	2
X54107	2	87	746	0	0	0	3	35	0	0	0	0	0	0	0	0	0	0	2	25	17	1	1	0	0	4
X25116	1	4	169	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	1	0	0
X71074	93	341	11788	1	0	23	48	58	2	0	1	1	0	1	0	0	1	0	9	118	51	0	1	4	3	30
X252853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
X100679	6	72	1709	0	0	5	11	19	0	0	1	0	0	0	1	0	0	0	0	33	20	2	0	0	0	2
X540349	16	25	1271	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	2
X1140	0	18	124	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1
X101071	18	0	3	0	0	11	0	8	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
X1143	1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X141739	1	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X1141	0	4	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X237125	0	7	75	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0
X1144	8	71	474	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	3	0	0	0	2	1
X512943	7	28	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	1
X235345	0	22	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0
X141417	8	87	647	0	0	0	4	3	1	1	0	0	0	1	0	0	0	0	1	14	2	0	0	0	0	2
X268471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
X395774	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
X142115	0	0	0	0	0	0	0	0	0	0	0	0	3	81	72	1	0	0	0	0	0	0	0	0	0	0
X239672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	66	0	0	0	0	0
X462844	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	21	30	0	0	0	0	0
X243675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0
X444679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
X540290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	14	0	0	0	0	0
X523571	0	0	0	0	0	0	0	0	0	0	0	0	2	26	36	0	0	0	0	0	0	0	0	0	0	0
X545095	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0
X105679	0	0	0	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0	0	0	0	0	0
X105066	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
X515962	0	0	0	0	0	0	0	0	0	0	0	0	1	6	10	0	0	0	0	0	0	0	0	0	0	0
X525569	0	0	0	0	0	0	0	0	0	0	1	0	1	14	18	1	0	0	0	0	0	0	0	0	0	0
X238793	0	0	0	0	0	0	0	0	0	0	0	0	17	196	246	0	0	0	1	0	0	0	0	0	0	0
X538819	0	0	0	0	0	0	0	0	0	0	0	0	2	26	30	0	0	0	0	0	0	0	0	0	0	0
X515691	0	0	0	0	0	0	0	0	0	0	0	2	18	187	213	1	0	0	0	0	0	0	0	0	0	0
X525464	0	0	0	0	0	0	0	0	0	0	0	0	10	94	114	1	0	0	0	0	0	0	0	0	0	0
X529521	0	0	0	0	0	0	0	0	0	0	0	0	1	12	23	0	0	0	0	0	0	0	0	0	0	0
X202343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
X455926	0	0	0	0	0	0	0	0	1	0	0	1	8	122	139	0	0	0	0	0	2	0	0	0	0	0
X246371	0	0	0	0	0	0	0	0	0	1	10	13	143	1730	1874	10	0	0	1	1	1	0	1	2	0	0
X282132	0	0	0	0	0	0	0	0	0	0	0	0	0	27	30	0	0	0	0	0	0	0	0	0	0	0
X254458	0	0	0	0	0	0	0	0	0	2	4	2	63	796	840	4	0	0	1	0	0	0	0	1	0	0
X245697	0	3	0	1	1	0	0	0	2	1	19	31	646	6350	6459	42	2	3	0	2	0	0	0	6	1	1
X45742	0	0	0	0	0	0	0	0	0	0	1	0	28	321	205	2	0	0	0	1	0	0	0	0	0	0
X441638	0	0	0	0	0	0	0	0	0	0	1	0	1	29	12	0	0	0	0	0	1	0	0	0	0	0
X251993	0	0	0	0	0	0	0	0	0	0	0	1	6	60	43	1	0	0	0	0	0	0	0	0	0	0
X462098	0	0	0	0	0	0	0	0	0	0	1	1	6	113	81	0	0	0	0	0	0	0	0	1	0	0
X570593	0	0	0	0	0	0	0	0	0	0	0	1	11	124	133	0	0	0	0	0	0	0	0	0	0	0
X159421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X104332	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	2	86	0	1	0	0	0
X137608	0	0	0	0	0	0	0	0	0	0	0	0	0	4	25	0	0	0	0	0	0	0	0	0	0	0
X200619	0	0	0	0	0	0	0	0	0	0	0	0	1	10	6	0	0	2	0	1	233	1	0	2	0	0
X568129	0	0	0	0	0	0	0	0	0	0	0	0	1	8	6	0	0	0	0	0	9	0	0	0	0	0
X348720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0
X528115	0	0	0	0	0	0	0	0	0	0	0	1	2	25	32	0	4	0	0	0	0	0	0	0	0	0
X257655	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	2	0	0	0	0	0
X173903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X47016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X548723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X542636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X526502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X311512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X132088	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X202347	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
X152431	0	0	0	0	0	0	0	0	0	0	0	0	4	25	25	0	0	0	0	0	0	0	0	0	0	0
X272691	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
X236606	0	0	0	0	0	0	0	0	0	0	0	0	5	90	100	0	0	0	0	0	0	0	0	0	0	0
X525	0	0	0	0	0	0	0	0	0	0	1	0	3	34	35	0	0	0	0	0	0	0	0	0	0	0
X52710	0	0	0	0	0	0	0	0	0	0	0	0	3	6	12	0	0	0	0	0	0	0	0	0	0	0
X592689	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	1	0	0	0	0	0	0
X55681	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	1	0	0	0	0	0	0	0	0	0	0
X206978	0	0	0	0	0	0	0	0	0	0	0	0	4	26	38	0	0	0	0	0	0	0	0	0	0	0
X467541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X566371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X453468	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X557121	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X524986	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X102663	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0
X264985	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0
X37119	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0	0	0	0	0	0
X349670	0	0	0	0	0	0	0	0	0	0	0	0	0	59	54	0	0	0	0	0	0	0	0	0	0	0
X240012	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0
X248224	0	0	0	0	0	0	0	0	0	0	0	0	9	53	66	0	0	0	0	0	0	0	0	0	0	0
X236057	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0
X236619	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0
X565033	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X212360	10	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
X146124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	170	1	0	0	0	0	0	0	0
X251552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	0	0	0	0	0
X542257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
X548984	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
X201596	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0
X158026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
X62881	0	0	0	0	0	0	0	0	1	1	2	2	237	600	691	3	1	0	0	0	0	0	0	3	0	0
X329648	0	0	0	0	0	0	0	0	0	0	0	0	37	166	210	1	0	0	0	0	0	0	0	0	0	0
X570725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X206080	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0
X547371	0	0	0	0	0	0	0	0	0	0	2	2	194	257	265	4	0	0	0	0	0	0	0	0	1	0
X140729	0	0	0	0	0	0	0	0	0	0	1	0	98	132	125	2	0	0	0	0	0	0	0	1	0	0
X347836	15	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X76707	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
X136107	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X170941	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X155703	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X213630	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X546805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X448625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
X101828	0	0	0	0	0	0	0	0	0	0	0	0	1	6	2	0	0	0	0	0	0	0	0	0	0	0
X319002	3	0	0	1	0	0	0	0	3	6	46	51	1784	9254	11824	73	9	8	0	2	0	2	1	21	5	1
X219191	0	0	0	0	0	0	0	0	0	1	0	0	29	150	186	1	0	0	0	0	0	0	0	0	0	0
X410763	0	0	0	0	0	0	0	0	0	0	0	0	2	62	48	0	0	0	0	0	0	0	0	0	0	0
X412056	0	0	0	0	0	0	0	0	0	0	1	2	26	110	129	1	0	0	0	0	0	0	0	1	0	0
X550661	0	0	0	0	0	0	0	0	0	0	0	0	2	6	4	0	0	0	0	0	0	0	0	0	0	0
X550655	0	0	0	0	0	0	0	0	0	0	0	0	2	16	16	0	0	0	0	0	0	0	0	0	0	0
X526	0	0	0	0	0	0	0	0	0	0	0	0	1	8	12	0	0	0	0	0	0	0	0	0	0	0
X515698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
X379145	0	0	0	0	0	0	0	0	0	0	0	0	5	10	12	0	0	0	0	0	0	0	0	0	0	0
X245798	0	0	0	0	0	0	0	0	0	0	0	0	11	33	36	0	0	0	0	0	0	0	0	0	0	0
X583469	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0
X254858	0	0	0	0	0	0	0	0	0	0	0	0	1	7	13	0	0	0	0	0	0	0	0	0	0	0
X407348	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	1	0	0	0	0	0
X250392	2	2	3	2	0	2	11	1	194	11	7	2	160	56	16	1396	42696	24854	56	14	1	3	1	10	5	8
X148407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
X104364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
X250570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
X308755	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	59	18	1014	1	0	0	0	0	0	0	0
X147601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
X255494	1	0	0	0	0	0	2	0	30	2	0	0	1	9	1	60	159	3386	8	2	0	0	0	0	0	0
X146866	1	0	0	0	0	0	0	1	13	0	0	0	1	1	0	34	23	1026	2	1	0	0	1	0	0	0
X155847	0	0	0	0	0	0	0	0	15	1	0	0	1	6	1	94	16	1369	4	0	0	0	1	0	0	1
X715	0	0	0	0	0	0	0	0	5	0	0	0	1	0	1	0	21	187	2	0	0	0	0	0	0	0
X32110	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
X140297	0	0	0	0	0	0	0	0	0	0	0	0	8	19	17	0	0	0	0	0	0	0	0	0	0	0
X105600	0	0	0	0	0	0	0	0	0	0	0	0	5	12	8	1	0	0	0	0	0	0	0	0	0	0
X40123	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0
X79	0	0	0	0	0	0	0	0	0	0	0	0	23	70	86	0	1	0	0	0	0	0	0	0	0	0
X18599	0	0	0	0	0	0	0	0	0	0	1	0	5	5	3	0	0	0	0	0	0	0	0	0	0	0
X77878	1	0	0	0	0	0	1	0	2	2	20	22	634	2083	2518	17	3	1	1	1	0	1	2	2	0	1
X101553	0	0	0	0	0	0	0	0	0	0	0	2	26	71	59	1	0	0	0	0	1	0	1	0	0	0
X204	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
X134	0	0	0	0	0	0	0	0	0	0	2	1	62	369	291	3	1	0	0	0	0	0	0	1	0	0
X551498	0	0	0	0	0	0	0	0	0	0	0	0	8	19	13	0	0	0	0	0	0	0	0	0	0	0
X99797	0	0	0	0	0	0	0	0	0	0	0	0	3	9	8	0	0	0	0	0	0	0	0	0	0	0
X150294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X155634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X153917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
X348180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
X138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X547463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
X152271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X227785	0	1	0	27	54	0	0	0	4	0	1	0	7	0	0	0	1	1	0	1	11	1566	1668	2	0	2
X104804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
X128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
X228569	0	0	0	0	0	0	0	0	0	0	0	0	21	98	65	0	0	0	0	0	0	0	0	0	0	0
X100449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
X262662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
X246686	0	0	0	0	0	0	0	0	0	0	1	1	21	125	89	1	0	0	0	0	0	0	0	0	0	0
X166443	0	0	0	0	0	0	0	0	0	0	0	0	1	18	20	0	0	0	0	0	0	0	0	0	0	0
X368907	0	0	0	0	0	254	292	20	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X12724	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X93749	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X378053	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X165106	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X135424	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X167566	7	54	4	0	0	2	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
X12751	8	298	4	0	0	0	0	0	0	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0
X12753	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X560734	0	1	3	0	0	0	1	0	0	0	20	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0
X231733	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X145101	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X367851	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X275357	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X315847	2	16	30	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X428663	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X165629	0	8	48	0	0	0	0	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0
X243161	1	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X525323	0	19	27	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X157893	4	32	17	0	0	4	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
X172332	0	19	19	0	0	2	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X179479	2	19	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X145776	14	290	187	0	0	28	32	24	0	0	0	2	0	2	0	0	0	0	0	2	1	0	1	0	0	0
X263308	33	85	226	0	0	12	62	29	0	0	0	0	0	1	0	0	0	0	0	6	4	0	0	0	0	0
X341901	4	33	217	0	0	1	12	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
X237339	46	308	227	0	0	1	18	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
X216616	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
X549341	0	9	115	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X132361	7	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X377237	20	43	32	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
X101707	1	7	7	0	0	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
X552729	4	30	25	0	0	6	45	24	1	1	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0
X34725	0	25	11	0	0	5	12	3	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	2	0
X205152	3	4	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X586825	69	146	432	0	0	31	41	17	0	1	0	1	25	42	30	0	2	0	0	4	1	0	0	1	0	1
X255802	12	8	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
