taxa	Kingdom	Phylum	Class	Order	Family	Genus	Species
X155526	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X197473	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X315545	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X348549	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X559394	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X341551	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	pIVWA5
X108964	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	pIVWA5
X330416	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	pIVWA5
X573586	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X568724	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X175045	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X552540	Archaea	Crenarchaeota	Thaumarchaeota	Cenarchaeales	Cenarchaeaceae	Nitrosopumilus	NA
X546313	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	CandidatusNitrososphaeragargensis
X548602	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	CandidatusNitrososphaeragargensis
X564501	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	CandidatusNitrososphaeragargensis
X47778	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	CandidatusNitrososphaeragargensis
X54107	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	CandidatusNitrososphaeragargensis
X25116	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	CandidatusNitrososphaeragargensis
X71074	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	SCA1145
X252853	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	SCA1145
X100679	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	SCA1145
X540349	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	SCA1145
X1140	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	NA
X101071	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	SCA1170
X1143	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	SCA1170
X141739	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	SCA1170
X1141	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	NA
X237125	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	NA
X1144	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	NA
X512943	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	NA
X235345	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	NA
X141417	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	CandidatusNitrososphaera	NA
X268471	Archaea	Crenarchaeota	NA	NA	NA	NA	NA
X395774	Archaea	Crenarchaeota	NA	NA	NA	NA	NA
X142115	Archaea	Crenarchaeota	NA	NA	NA	NA	NA
X239672	Archaea	Crenarchaeota	C2	B10	NA	NA	NA
X462844	Archaea	Crenarchaeota	C2	B10	NA	NA	NA
X243675	Archaea	Crenarchaeota	C2	B10	NA	NA	NA
X444679	Archaea	Crenarchaeota	C2	B10	NA	NA	NA
X540290	Archaea	Crenarchaeota	C2	B10	NA	NA	NA
X523571	Archaea	Crenarchaeota	C2	B10	NA	NA	NA
X545095	Archaea	Crenarchaeota	C2	B10	NA	NA	NA
X105679	Archaea	Crenarchaeota	C2	NA	NA	NA	NA
X105066	Archaea	Crenarchaeota	C2	NA	NA	NA	NA
X515962	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X525569	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X238793	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X538819	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X515691	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X525464	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X529521	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X202343	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X455926	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X246371	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X282132	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X254458	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X245697	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X45742	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X441638	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X251993	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X462098	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X570593	Archaea	Crenarchaeota	C2	pGrfC26	NA	NA	NA
X159421	Archaea	Crenarchaeota	pMC2A209	NA	NA	NA	NA
X104332	Archaea	Crenarchaeota	pMC2A209	NA	NA	NA	NA
X137608	Archaea	Crenarchaeota	pMC2A209	NA	NA	NA	NA
X200619	Archaea	Crenarchaeota	pMC2A209	NA	NA	NA	NA
X568129	Archaea	Crenarchaeota	pMC2A209	NA	NA	NA	NA
X348720	Archaea	Crenarchaeota	pMC2A209	NA	NA	NA	NA
X528115	Archaea	Crenarchaeota	pMC2A209	NA	NA	NA	NA
X257655	Archaea	Crenarchaeota	pMC2A209	NA	NA	NA	NA
X173903	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronococcus	NA
X47016	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum	NA
X548723	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloterrigena	Haloterrigenathermotolerans
X542636	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloterrigena	Haloterrigenathermotolerans
X526502	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium	Halomicrobiummukohataei
X311512	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula	NA
X132088	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula	NA
X202347	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	NA
X152431	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Methanosaetathermophila
X272691	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	NA
X236606	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	NA
X525	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	NA
X52710	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	NA
X592689	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	NA
X55681	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcinaacetivorans
X206978	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcinamazei
X467541	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcinamazei
X566371	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	NA	NA
X453468	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	NA	NA	NA
X557121	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	Methanosphaerula	Methanosphaerulapalustris
X524986	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	Methanosphaerula	Methanosphaerulapalustris
X102663	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	Methanolinea	NA
X264985	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	Methanolinea	NA
X37119	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	CandidatusMethanoregula	NA
X349670	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	CandidatusMethanoregula	NA
X240012	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	CandidatusMethanoregula	NA
X248224	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	CandidatusMethanoregula	NA
X236057	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	NA	NA
X236619	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	NA	NA
X565033	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	NA
X212360	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculumlabreanum
X146124	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupIII	NA	NA
X251552	Archaea	Euryarchaeota	Thermoplasmata	E2	NA	NA	NA
X542257	Archaea	Euryarchaeota	Thermoplasmata	E2	NA	NA	NA
X548984	Archaea	Euryarchaeota	Thermoplasmata	E2	MOB7-9	NA	NA
X201596	Archaea	Euryarchaeota	Thermoplasmata	E2	MOB7-9	NA	NA
X158026	Archaea	Euryarchaeota	Thermoplasmata	E2	MOB7-9	NA	NA
X62881	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X329648	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X570725	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X206080	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X547371	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X140729	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X347836	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X76707	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X136107	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X170941	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X155703	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X213630	Archaea	Euryarchaeota	Thermoplasmata	E2	WCHD3-02	NA	NA
X546805	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X448625	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X101828	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X319002	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X219191	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X410763	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X412056	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X550661	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X550655	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X526	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X515698	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X379145	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X245798	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X583469	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X254858	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X407348	Archaea	Euryarchaeota	Thermoplasmata	E2	pMC2A33	NA	NA
X250392	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X148407	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X104364	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X250570	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X308755	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X147601	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X255494	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X146866	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X155847	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X715	Archaea	Euryarchaeota	Thermoplasmata	E2	MarinegroupII	NA	NA
X32110	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	WSA2	NA	NA
X140297	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	MSBL1	SAGMEG-1	NA
X105600	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
X40123	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
X79	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacteriumbryantii
X18599	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
X77878	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
X101553	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacteriumbeijingense
X204	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
X134	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
X551498	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
X99797	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA
X150294	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaerastadtmanae
X155634	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	NA
X153917	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	NA
X348180	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA
X138	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA
X547463	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacterarboriphilus
X152271	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA
X227785	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibactersmithii
X104804	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA
X128	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA
X228569	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	NA
X100449	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA
X262662	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA
X246686	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA
X166443	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	NA	NA
X368907	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacteriumacnes
X12724	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacteriumgranulosum
X93749	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacteriumacidipropionici
X378053	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Tessaracoccus	NA
X165106	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Aestuariimicrobium	Aestuariimicrobiumkwangyangense
X135424	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
X167566	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Propionicimonas	NA
X12751	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Propionicimonas	NA
X12753	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Propionicimonas	NA
X560734	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
X231733	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
X145101	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Microlunatus	NA
X367851	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	NA	NA
X275357	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	NA	NA
X315847	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	NA	NA
X428663	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Friedmanniella	NA
X165629	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	NA	NA	NA
X243161	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X525323	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X157893	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X172332	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X179479	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	NA
X145776	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	NA
X263308	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X341901	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X237339	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X216616	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X549341	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X132361	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X377237	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X101707	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X552729	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X34725	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X205152	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X586825	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X255802	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X98983	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X101669	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X204284	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X501795	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X207298	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X516593	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X154684	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X243943	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X101852	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X325277	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X167263	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X563475	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X214797	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Pimelobacter	NA
X360170	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X151383	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X16538	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X154113	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	NA	NA
X236362	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
X12762	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
X559914	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
X244158	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
X533951	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
X286030	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
X137567	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioideslentus
X517399	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
X12778	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	NA
